id,title,runtime,release_year
290157,Jupiter's Wife,87.0,1995
110972,Pie in the Sky,95.0,1996
32622,Angela,99.0,1995
73067,Frankie Starlight,101.0,1995
11863,Jade,95.0,1995
55475,Nueba Yol,102.0,1995
124636,Sonic Outlaws,87.0,1995
9101,Down Periscope,92.0,1996
123360,From the Journals of Jean Seberg,97.0,1995
5757,Man of the Year,86.0,1995
39428,The Neon Bible,91.0,1995
124639,Target,122.0,1995
9302,Up Close & Personal,119.0,1996
11000,The Birdcage,117.0,1996
249882,Virgin Mary,125.0,1995
16388,The Brothers McMullen,98.0,1995
9737,Bad Boys,118.0,1995
30765,The Amazing Panda Adventure,81.0,1995
10474,The Basketball Diaries,102.0,1995
22279,An Awfully Big Adventure,113.0,1995
30157,Amateur,105.0,1994
568,Apollo 13,140.0,1995
11780,Rob Roy,139.0,1995
34996,The Addiction,82.0,1995
414,Batman Forever,121.0,1995
649,Belle de Jour,101.0,1967
1873,Beyond Rangoon,100.0,1995
5894,Blue in the Face,83.0,1995
1775,Canadian Bacon,91.0,1995
8839,Casper,100.0,1995
20649,Clockers,128.0,1995
10329,Congo,109.0,1995
8963,Crimson Tide,116.0,1995
26564,Crumb,119.0,1994
8068,Desperado,104.0,1995
8512,Devil in a Blue Dress,102.0,1995
1572,Die Hard: With a Vengeance,128.0,1995
13552,The Doom Generation,80.0,1995
259209,Feast of July,116.0,1995
6520,First Knight,134.0,1995
9073,Free Willy 2 - The Adventure Home,95.0,1995
10428,Hackers,107.0,1995
17447,Jeffrey,92.0,1995
9886,Johnny Mnemonic,97.0,1995
9482,Judge Dredd,96.0,1995
19326,Jury Duty,88.0,1995
9344,Kids,91.0,1995
9071,Living in Oblivion,89.0,1995
8973,Lord of Illusions,119.0,1995
15730,Love & Human Remains,100.0,1993
47608,Mad Love,95.0,1995
2293,Mallrats,94.0,1995
9070,Mighty Morphin Power Rangers: The Movie,92.0,1995
68274,Moonlight and Valentino,100.0,1995
48787,Mute Witness,95.0,1995
34574,Nadja,93.0,1994
1642,The Net,114.0,1995
11472,Nine Months,103.0,1995
36196,Party Girl,94.0,1995
11980,The Prophecy,98.0,1995
58372,Reckless,91.0,1995
32646,Safe,119.0,1995
10533,The Scarlet Letter,135.0,1995
56088,The Show,93.0,1995
10802,Showgirls,128.0,1995
10149,Smoke,112.0,1995
18402,Something to Talk About,106.0,1995
9348,Species,108.0,1995
139408,The Stars Fell on Henrietta,109.0,1995
281,Strange Days,145.0,1995
5967,The Umbrellas of Cherbourg,91.0,1964
79593,The Tie That Binds,99.0,1995
47939,Three Wishes,115.0,1995
36834,Total Eclipse,111.0,1995
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",105.0,1995
3512,Under Siege 2: Dark Territory,100.0,1995
52856,Unstrung Heroes,93.0,1995
77350,Unzipped,73.0,1995
9560,A Walk in the Clouds,103.0,1995
9804,Waterworld,135.0,1995
31611,White Man's Burden,89.0,1995
65796,Wild Bill,98.0,1995
49805,The Browning Version,97.0,1994
26258,Bushwhacked,90.0,1995
50797,Burnt by the Sun,135.0,1994
19155,Before the Rain,113.0,1994
76,Before Sunrise,105.0,1995
11017,Billy Madison,89.0,1995
37141,The Babysitter,90.0,1995
9382,Boys on the Side,115.0,1995
6715,The Cure,97.0,1995
18256,Castle Freak,95.0,1995
22625,Circle of Friends,103.0,1995
2292,Clerks,92.0,1994
1909,Don Juan DeMarco,97.0,1994
8984,Disclosure,123.0,1994
61813,Dream Man,0.0,1995
4954,Drop Zone,101.0,1994
62488,Destiny Turns on the Radio,0.0,1995
10531,Death and the Maiden,103.0,1994
11929,Dolores Claiborne,132.0,1995
8467,Dumb and Dumber,107.0,1994
10451,Eat Drink Man Woman,123.0,1994
20156,Exotica,103.0,1994
18395,Exit to Eden,113.0,1994
522,Ed Wood,127.0,1994
397,French Kiss,111.0,1995
10525,Forget Paris,101.0,1995
27985,Far from Home: The Adventures of Yellow Dog,87.0,1995
15789,A Goofy Movie,78.0,1995
27303,Hideaway,103.0,1995
21183,Fluke,96.0,1995
10954,Farinelli,111.0,1994
47867,Gordy,90.0,1995
43475,Gumby: The Movie,77.0,1995
72031,The Glass Shield,109.0,1994
14275,Hoop Dreams,171.0,1994
1024,Heavenly Creatures,99.0,1994
17207,Houseguest,113.0,1995
13701,Immortal Beloved,121.0,1994
14819,Heavyweights,100.0,1995
32631,The Hunted,106.0,1995
11777,I.Q.,100.0,1994
628,Interview with the Vampire,123.0,1994
87729,Jefferson in Paris,139.0,1995
18713,The Jerky Boys,82.0,1995
6280,Junior,109.0,1994
9061,Just Cause,102.0,1995
37108,A Kid in King Arthur's Court,89.0,1995
6071,Kiss of Death,101.0,1995
11,Star Wars,121.0,1977
9587,Little Women,115.0,1994
19101,A Little Princess,97.0,1995
49980,Ladybird Ladybird,101.0,1994
17961,L'Enfer,100.0,1994
18183,Like Water for Chocolate,105.0,1992
4476,Legends of the Fall,133.0,1994
11008,Major Payne,95.0,1995
47504,Little Odessa,98.0,1994
32325,Mi Vida Loca,92.0,1994
43742,Love Affair,108.0,1994
28313,Losing Isaiah,106.0,1995
11318,The Madness of King George,107.0,1994
3036,Mary Shelley's Frankenstein,123.0,1994
40490,Man of the House,96.0,1995
24070,Mixed Nuts,97.0,1994
8986,Milk Money,108.0,1994
10510,Miracle on 34th Street,114.0,1994
17402,Miami Rhapsody,95.0,1995
38722,My Family,128.0,1995
8438,Murder in the First,122.0,1995
11593,Nobody's Fool,110.0,1994
1945,Nell,112.0,1994
39310,New Jersey Drive,98.0,1995
109560,New York Cop,93.0,1993
56428,Beyond Bedlam,89.0,1994
63105,Nemesis 2 - Nebula,83.0,1995
131957,Nina Takes a Lover,100.0,1995
241,Natural Born Killers,119.0,1994
9058,Only You,115.0,1994
527,Once Were Warriors,99.0,1994
18220,Poison Ivy II: Lily,106.0,1996
6950,Outbreak,127.0,1995
101,Leon: The Professional,110.0,1994
63020,The Perez Family,113.0,1995
2307,A Pyromaniac's Love Story,94.0,1995
680,Pulp Fiction,154.0,1994
41478,Panther,124.0,1995
25296,Pushing Hands,105.0,1992
40156,Priest,98.0,1994
11450,Quiz Show,133.0,1994
30304,Picture Bride,94.0,1995
10452,Queen Margot,162.0,1994
12106,The Quick and the Dead,107.0,1995
161495,Roommates,108.0,1995
3586,Prêt-à-Porter,133.0,1994
110,Three Colors: Red,99.0,1994
108,Three Colors: Blue,98.0,1993
109,Three Colors: White,91.0,1994
159185,"Red Firecracker, Green Firecracker",111.0,1994
36357,Rent-a-Kid,85.0,1995
92769,Relative Fear,90.0,1995
28033,Stuart Saves His Family,95.0,1995
22586,The Swan Princess,89.0,1994
14334,The Secret of Roan Inish,97.0,1994
2636,The Specialist,110.0,1994
2164,Stargate,121.0,1994
11395,The Santa Clause,97.0,1994
278,The Shawshank Redemption,142.0,1994
9905,Shallow Grave,92.0,1994
87078,Suture,96.0,1993
12527,Strawberry and Chocolate,108.0,1993
20306,Swimming with Sharks,101.0,1994
36614,The Sum of Us,100.0,1994
27993,Senior Trip,91.0,1995
31439,To Live,125.0,1994
9067,Tank Girl,98.0,1995
9059,Tales from the Crypt: Demon Knight,92.0,1995
193,Star Trek: Generations,118.0,1994
25066,Tales from the Hood,98.0,1995
46797,Tom & Viv,115.0,1994
12122,Village of the Damned,99.0,1995
11381,Tommy Boy,97.0,1995
32636,Vanya on 42nd Street,119.0,1994
36141,The Underneath,99.0,1995
95963,The Walking Dead,88.0,1995
1587,What's Eating Gilbert Grape,118.0,1993
9271,Virtuosity,106.0,1995
2064,While You Were Sleeping,103.0,1995
19855,The War,126.0,1994
60855,Double Happiness,87.0,1994
236,Muriel's Wedding,106.0,1994
48287,The Baby-Sitters Club,94.0,1995
3049,Ace Ventura: Pet Detective,86.0,1994
2759,"The Adventures of Priscilla, Queen of the Desert",104.0,1994
12635,Backbeat,100.0,1994
10497,Bitter Moon,139.0,1992
11382,Bullets Over Broadway,98.0,1994
9331,Clear and Present Danger,141.0,1994
10731,The Client,119.0,1994
10464,"Corrina, Corrina",115.0,1994
34152,Crooklyn,115.0,1994
9495,The Crow,102.0,1994
29973,Cobb,128.0,1994
888,The Flintstones,91.0,1994
13,Forrest Gump,142.0,1994
712,Four Weddings and a Funeral,117.0,1994
16295,Higher Learning,127.0,1995
48992,I Like It Like That,104.0,1994
10879,I Love Trouble,123.0,1994
10660,It Could Happen to You,101.0,1994
10714,The Jungle Book,111.0,1994
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",180.0,1993
8587,The Lion King,89.0,1994
1689,Little Buddha,140.0,1993
11596,New Nightmare,112.0,1994
854,The Mask,101.0,1994
9359,Maverick,127.0,1994
23333,Mrs. Parker and the Vicious Circle,125.0,1994
36593,The Naked Gun 33⅓: The Final Insult,83.0,1994
12280,The Paper,112.0,1994
2788,Reality Bites,99.0,1994
10427,Red Rock West,98.0,1993
11011,Ri¢hie Ri¢h,95.0,1994
49803,Safe Passage,98.0,1994
8987,The River Wild,111.0,1994
1637,Speed,116.0,1994
15128,Speechless,99.0,1994
8831,Timecop,99.0,1994
36955,True Lies,141.0,1994
10449,When a Man Loves a Woman,126.0,1994
10395,Wolf,125.0,1994
12160,Wyatt Earp,191.0,1994
40480,Bad Company,108.0,1995
52038,A Man of No Importance,99.0,1994
29444,S.F.W.,96.0,1994
26352,A Low Down Dirty Shame,100.0,1994
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",91.0,1994
41580,Colonel Chabert,110.0,1994
315,"Faster, Pussycat! Kill! Kill!",83.0,1965
22067,Jason's Lyric,119.0,1994
18242,The Secret Adventures of Tom Thumb,61.0,1993
11667,Street Fighter,102.0,1994
32502,Coldblooded,92.0,1995
267188,Desert Winds,97.0,1997
28732,Fall Time,88.0,1995
75555,The Fear,98.0,1995
42981,Frank and Ollie,89.0,1995
278939,Girl in the Cadillac,89.0,1995
291731,Homage,97.0,1995
226229,Mirage,92.0,1995
203119,Open Season,97.0,1996
172923,Dos Crímenes,0.0,1995
316098,Brother Minister: The Assassination of Malcolm X,115.0,1995
8011,Highlander: The Final Dimension,99.0,1994
171857,Federal Hill,97.0,1995
2654,In the Mouth of Madness,95.0,1994
18069,8 Seconds,105.0,1994
19092,Above the Rim,96.0,1994
2758,Addams Family Values,94.0,1993
38129,Martin Lawrence: You So Crazy,84.0,1994
10436,The Age of Innocence,139.0,1993
13595,Airheads,92.0,1994
46094,The Air Up There,107.0,1994
9409,Another Stakeout,105.0,1993
11853,Bad Girls,99.0,1994
16771,Barcelona,100.0,1994
46924,Being Human,122.0,1994
11041,The Beverly Hillbillies,93.0,1993
306,Beverly Hills Cop III,104.0,1994
14522,Black Beauty,88.0,1994
26203,Blink,106.0,1994
178,Blown Away,121.0,1994
19819,Blue Chips,108.0,1994
57834,Blue Sky,101.0,1994
4722,Body Snatchers,87.0,1993
18215,Boxing Helena,107.0,1993
1607,A Bronx Tale,121.0,1993
26391,Cabin Boy,80.0,1994
117553,Calendar Girl,90.0,1993
6075,Carlito's Way,144.0,1993
11310,City Slickers II: The Legend of Curly's Gold,116.0,1994
18658,Clean Slate,107.0,1994
9350,Cliffhanger,112.0,1993
9612,Coneheads,88.0,1993
2124,Color of Night,121.0,1994
26261,Cops & Robbersons,93.0,1994
19176,The Cowboy Way,102.0,1994
49299,Dangerous Game,108.0,1993
11566,Dave,110.0,1993
9571,Dazed and Confused,102.0,1993
9739,Demolition Man,115.0,1993
24257,The Endless Summer 2,109.0,1994
34444,Even Cowgirls Get the Blues,96.0,1994
26141,Fatal Instinct,91.0,1993
10997,Farewell My Concubine,171.0,1993
50463,The Favor,97.0,1994
10443,Fearless,122.0,1993
20239,Fear of a Black Hat,88.0,1994
16297,With Honors,103.0,1994
18551,Flesh and Bone,126.0,1993
25440,Widows' Peak,101.0,1994
9024,For Love or Money,94.0,1993
37233,The Firm,154.0,1993
1634,Free Willy,112.0,1993
13815,Fresh,114.0,1994
5503,The Fugitive,130.0,1993
35588,Geronimo: An American Legend,115.0,1993
2087,The Getaway,115.0,1994
41579,Getting Even with Dad,109.0,1994
18620,Go Fish,83.0,1994
41006,A Good Man in Africa,94.0,1994
4916,Guilty as Sin,107.0,1993
2019,Hard Target,97.0,1993
31642,Heaven & Earth,140.0,1993
9255,Hot Shots! Part Deux,86.0,1993
26271,Live Nude Girls,95.0,1995
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,99.0,1995
2259,The House of the Spirits,140.0,1993
16097,House Party 3,100.0,1994
11934,The Hudsucker Proxy,111.0,1994
106143,I'll Do Anything,115.0,1994
12475,In the Army Now,91.0,1994
9386,In the Line of Fire,128.0,1993
7984,In the Name of the Father,133.0,1993
59930,The Inkwell,110.0,1994
15765,What's Love Got to Do with It,118.0,1993
31643,Jimmy Hollywood,112.0,1994
6,Judgment Night,110.0,1993
329,Jurassic Park,127.0,1993
10909,Kalifornia,117.0,1993
507,Killing Zoe,96.0,1993
34024,King of the Hill,103.0,1993
29918,Lassie,94.0,1994
9593,Last Action Hero,130.0,1993
42580,Life With Mikey,91.0,1993
22317,Lightning Jack,98.0,1994
1413,M. Butterfly,101.0,1993
12121,Made in America,111.0,1993
2246,Malice,107.0,1993
10502,The Man without a Face,114.0,1993
10440,Manhattan Murder Mystery,104.0,1993
9516,Menace II Society,97.0,1993
2320,Executive Decision,133.0,1996
5879,In the Realm of the Senses,105.0,1976
83718,What Happened Was...,91.0,1994
11971,Much Ado About Nothing,111.0,1993
2625,Mr. Jones,114.0,1993
31911,Mr. Wonderful,98.0,1993
788,Mrs. Doubtfire,125.0,1993
21450,Naked,131.0,1993
11231,The Next Karate Kid,107.0,1994
41588,The New Age,112.0,1994
10447,No Escape,118.0,1994
31586,North,87.0,1994
9300,Orlando,93.0,1992
9559,A Perfect World,138.0,1993
9800,Philadelphia,125.0,1993
713,The Piano,121.0,1993
8291,Poetic Justice,109.0,1993
18133,The Program,112.0,1993
25557,The Puppet Masters,109.0,1994
22588,Radioland Murders,108.0,1994
10872,The Ref,97.0,1994
1245,The Remains of the Day,134.0,1993
11858,Renaissance Man,128.0,1994
7007,Rising Sun,125.0,1993
10467,The Road to Wellville,118.0,1994
5550,RoboCop 3,104.0,1993
8005,Robin Hood: Men in Tights,104.0,1993
2088,Romeo Is Bleeding,100.0,1993
10412,Romper Stomper,94.0,1992
47889,Ruby in Paradise,114.0,1993
14534,Rudy,114.0,1993
56583,The Saint of Fort Washington,99.0,1993
41878,Savage Nights,126.0,1992
424,Schindler's List,195.0,1993
35233,The Scout,101.0,1994
14291,Searching for Bobby Fischer,110.0,1993
103413,Second Best,105.0,1994
11236,The Secret Garden,102.0,1993
11592,Serial Mom,95.0,1994
8850,The Shadow,108.0,1994
10445,Shadowlands,131.0,1993
695,Short Cuts,187.0,1993
43535,A Simple Twist of Fate,106.0,1994
12519,Sirens,98.0,1993
23210,Six Degrees of Separation,112.0,1993
858,Sleepless in Seattle,105.0,1993
867,Sliver,108.0,1993
78,Blade Runner,117.0,1982
13203,Son in Law,95.0,1993
10442,So I Married an Axe Murderer,93.0,1993
11074,Striking Distance,102.0,1993
33367,Harem,113.0,1985
9607,Super Mario Bros.,104.0,1993
17585,Surviving the Game,96.0,1994
9057,Terminal Velocity,102.0,1994
20967,Thirty Two Short Films About Glenn Gould,93.0,1993
10635,Threesome,93.0,1994
9479,The Nightmare Before Christmas,76.0,1993
10057,The Three Musketeers,105.0,1993
11969,Tombstone,130.0,1993
41590,Trial by Jury,107.0,1994
319,True Romance,120.0,1993
26408,The War Room,96.0,1993
15139,The Pagemaster,80.0,1994
161158,"Paris, France",112.0,1994
218473,"The Beans of Egypt, Maine",0.0,1994
85247,Killer,97.0,1994
11446,Welcome to the Dollhouse,88.0,1995
51980,Germinal,160.0,1993
24405,Chasers,102.0,1994
11655,Cronos,94.0,1993
11800,Naked in New York,95.0,1993
8223,Kika,117.0,1993
14587,Bhaji on the Beach,100.0,1994
31504,Little Big League,119.0,1994
41653,The Slingshot,102.0,1993
53185,Wide Eyed and Legless,102.0,1993
95743,Foreign Student,90.0,1994
23637,"Ciao, Professore!",100.0,1992
17600,Spanking the Monkey,106.0,1994
10897,The Little Rascals,82.0,1994
349394,À la mode,82.0,1993
21352,Andre,94.0,1994
68806,The Escort,92.0,1993
37345,Princess Caraboo,97.0,1994
32562,The Celluloid Closet,102.0,1996
47507,Café au Lait,94.0,1993
25403,Dear Diary,100.0,1993
124304,I Don't Want to Talk About It,106.0,1993
9066,The Brady Bunch Movie,84.0,1995
771,Home Alone,103.0,1990
251,Ghost,127.0,1990
812,Aladdin,90.0,1992
280,Terminator 2: Judgment Day,137.0,1991
581,Dances with Wolves,181.0,1990
80350,Tough and Deadly,92.0,1995
268,Batman,126.0,1989
274,The Silence of the Lambs,119.0,1991
408,Snow White and the Seven Dwarfs,83.0,1937
10020,Beauty and the Beast,84.0,1991
10895,Pinocchio,88.0,1940
114,Pretty Woman,119.0,1990
41043,Window to Paris,87.0,1993
576,The Wild Bunch,145.0,1969
15477,Love and a .45,101.0,1994
59146,The Wooden Man's Bride,113.0,1994
124472,A Great Day in Harlem,60.0,1994
30528,Bye Bye Love,106.0,1995
7300,One Fine Day,108.0,1996
10824,Candyman: Farewell to the Flesh,93.0,1995
261246,Century,112.0,1993
275,Fargo,98.0,1996
25059,Homeward Bound II: Lost in San Francisco,89.0,1996
11827,Heavy Metal,90.0,1981
8766,Hellraiser: Bloodline,86.0,1996
23570,The Pallbearer,97.0,1996
47333,Jane Eyre,112.0,1996
54850,Loaded,91.0,1996
51242,Bread and Chocolate,100.0,1974
10112,The Aristocats,78.0,1970
4307,The Flower of My Secret,107.0,1995
46029,Two Much,118.0,1996
32308,Ed,94.0,1996
88893,Scream of Stone,105.0,1991
52873,My Favorite Season,127.0,1993
123505,A Modern Affair,90.0,1996
340210,Condition Red,83.0,1995
44281,Halfaouine: Boy of the Terraces,98.0,1990
28121,A Thin Line Between Love and Hate,108.0,1996
12520,The Last Supper,92.0,1995
1592,Primal Fear,129.0,1996
166901,Rude,89.0,1995
36447,Carried Away,109.0,1996
19042,All Dogs Go to Heaven 2,82.0,1996
38884,Land and Freedom,109.0,1995
47449,Denise Calls Up,80.0,1995
36259,Theodore Rex,92.0,1995
41852,A Family Thing,109.0,1996
40926,Frisk,88.0,1996
9099,Sgt. Bilko,90.0,1996
2021,Jack & Sarah,110.0,1995
61752,Girl 6,108.0,1996
10988,Diabolique,107.0,1996
11479,"Little Indian, Big City",90.0,1994
398959,Roula,97.0,1995
287305,Peanuts – Die Bank zahlt alles,,1996
339428,Happy Weekend,,1996
12652,Nelly and Monsieur Arnaud,106.0,1996
10684,Courage Under Fire,117.0,1996
954,Mission: Impossible,110.0,1996
68445,Cold Fever,85.0,1995
18989,Moll Flanders,123.0,1996
10801,The Superwife,86.0,1996
54285,"301, 302",100.0,1995
8840,DragonHeart,103.0,1996
278978,Und keiner weint mir nach,,1996
124625,My Mother's Courage,93.0,1995
11107,Eddie,100.0,1996
16417,Yankee Zulu,100.0,1993
70934,Billy's Holiday,92.0,1995
10363,Purple Noon,115.0,1960
161070,August,94.0,1996
10539,James and the Giant Peach,79.0,1996
10543,Fear,97.0,1996
18414,Kids in the Hall: Brain Candy,89.0,1996
47502,Faithful,91.0,1996
11902,Underground,170.0,1995
27098,All Things Fair,130.0,1995
25087,Bloodsport II,90.0,1996
5801,Pather Panchali,125.0,1955
896,The World of Apu,117.0,1959
3065,Mystery Science Theater 3000: The Movie,73.0,1996
318177,Tarantella,100.0,1996
2300,Space Jam,88.0,1996
8069,Barbarella,98.0,1968
288173,Hostile Intentions,90.0,1995
187851,They Bite,98.0,1996
27768,Some Folks Call It a Sling Blade,25.0,1994
221917,The Run of the Country,0.0,1995
8072,Alphaville,100.0,1965
35797,Coup de Torchon,128.0,1981
88030,Tigrero: A Film That Was Never Made,75.0,1994
185191,The Eye of Vichy,110.0,1993
83857,Windows,96.0,1980
33245,It's My Party,110.0,1996
124460,Country Life,118.0,1994
27281,Operation Dumbo Drop,107.0,1995
105045,The Promise,115.0,1995
40001,Mrs. Winterbourne,105.0,1996
29621,Solo,94.0,1996
117730,Under The Domim Tree,0.0,1994
20762,The Substitute,114.0,1996
37144,True Crime,94.0,1996
48260,Butterfly Kiss,88.0,1995
12656,Feeling Minnesota,99.0,1996
38867,Delta of Venus,99.0,1995
277270,To Cross the Rubicon,0.0,1991
25969,Angus,90.0,1995
44103,Priest Daens,138.0,1992
753,Faces,130.0,1968
43634,Boys,86.0,1996
9103,The Quest,95.0,1996
90214,Cosi,102.0,1996
29649,Sunset Park,99.0,1996
10990,Mulholland Falls,107.0,1996
8866,The Truth About Cats & Dogs,93.0,1996
12233,Oliver & Company,74.0,1988
23449,Celtic Pride,91.0,1996
36355,Flipper,95.0,1996
37667,Captives,100.0,1994
90148,Of Love and Shadows,103.0,1994
922,Dead Man,121.0,1995
11876,The Horseman on the Roof,135.0,1995
52633,Switchblade Sisters,91.0,1975
62364,Mouth to Mouth,106.0,1995
11687,The Visitors,107.0,1993
9304,Multiplicity,117.0,1996
73183,"The Haunted World of Edward D. Wood, Jr.",112.0,1996
131232,Two Friends,86.0,2002
9100,The Craft,101.0,1996
20759,The Great White Hype,91.0,1996
46063,Last Dance,103.0,1996
32513,Cold Comfort Farm,95.0,1995
40651,"Institute Benjamenta, or This Dream People Call Human Life",104.0,1995
36915,Heaven's Prisoners,132.0,1996
40507,Original Gangstas,99.0,1996
9802,The Rock,136.0,1996
25697,Getting Away with Murder,91.0,1996
21588,Cemetery Man,105.0,1994
664,Twister,113.0,1996
11867,Barb Wire,98.0,1996
47119,Le Garçu,102.0,1995
314352,Honeymoon,92.0,1996
9323,Ghost in the Shell,83.0,1995
10280,Thinner,92.0,1996
10535,Spy Hard,81.0,1996
124613,Brothers in Trouble,102.0,1995
532,A Close Shave,30.0,1995
26744,Force of Evil,78.0,1948
16299,The Stupids,94.0,1996
10547,The Arrival,115.0,1996
245268,The Man from Down Under,103.0,1943
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95.0,1964
55613,Careful,100.0,1992
41007,A Month by the Lake,92.0,1995
35645,Gold Diggers: The Secret of Bear Mountain,94.0,1995
110465,Kim,113.0,1950
255546,Carmen Miranda: Bananas Is My Business,91.0,1995
40751,Ashes of Time,100.0,1994
275096,The Jar,86.0,1994
85778,Maya Lin: A Strong Clear Vision,105.0,1995
11101,Stalingrad,134.0,1993
9826,The Phantom,100.0,1996
9879,Striptease,115.0,1996
63564,The Last of the High Kings,102.0,1996
22621,Heavy,105.0,1995
7095,Jack,113.0,1996
26890,I Shot Andy Warhol,103.0,1996
46732,The Grass Harp,107.0,1995
124633,Someone Else's America,96.0,1995
202425,Life is Rosy,80.0,1987
196940,Quartier Mozart,80.0,1992
77771,Touki Bouki,85.0,1973
181083,God's Gift,75.0,1982
41225,Spirits of the Dead,121.0,1968
188589,Babyfever,109.0,1994
87190,Pharaoh's  Army,90.0,1995
627,Trainspotting,93.0,1996
32872,Til There Was You,113.0,1997
602,Independence Day,145.0,1996
14553,Stealing Beauty,116.0,1996
9566,The Fan,116.0,1996
10545,The Hunchback of Notre Dame,91.0,1996
