id,title,revenue,name_collection
527,Once Were Warriors,2201126,Once were Warriors Collection
18220,Poison Ivy II: Lily,0,Poison Ivy Collection
110,Three Colors: Red,0,Three Colors Collection
108,Three Colors: Blue,0,Three Colors Collection
109,Three Colors: White,0,Three Colors Collection
22586,The Swan Princess,9771658,Swan Princess Series
11395,The Santa Clause,189833357,The Santa Clause Collection
9059,Tales from the Crypt: Demon Knight,0,Tales from the Crypt Collection
193,Star Trek: Generations,120000000,Star Trek: The Next Generation Collection
3049,Ace Ventura: Pet Detective,107217396,Ace Ventura Collection
9331,Clear and Present Danger,215887717,The Jack Ryan Collection
9495,The Crow,94000000,The Crow Collection
888,The Flintstones,341631208,The Flintstones (Live-Action) Collection
8587,The Lion King,788241776,The Lion King Collection
11596,New Nightmare,18090181,A Nightmare on Elm Street Collection
854,The Mask,351583407,The Mask Collection
36593,The Naked Gun 33⅓: The Final Insult,51132598,Naked Gun Collection
11011,Ri¢hie Ri¢h,0,Richie Rich Collection
1637,Speed,350448145,Speed Collection
8831,Timecop,101646581,Timecop Collection
11667,Street Fighter,99423521,Street Fighter
75555,The Fear,0,Fear Collection
8011,Highlander: The Final Dimension,36800000,Highlander Collection
2758,Addams Family Values,48919043,Addams Family Collection
9409,Another Stakeout,0,Stakeout Collection
306,Beverly Hills Cop III,119208989,Beverly Hills Cop Collection
11310,City Slickers II: The Legend of Curly's Gold,0,City Slickers Collection
24257,The Endless Summer 2,0,The Endless Summer Collection
1634,Free Willy,153698625,Free Willy Collection
5503,The Fugitive,368875760,The Fugitive / U.S. Marshals Collection
2019,Hard Target,74189677,Hard Target Collection
9255,Hot Shots! Part Deux,133752825,Hot Shots! Collection
16097,House Party 3,0,House Party Collection
329,Jurassic Park,920100000,Jurassic Park Collection
11231,The Next Karate Kid,15826984,The Karate Kid Collection
5550,RoboCop 3,10696210,RoboCop Collection
11236,The Secret Garden,0,The Secret Garden Collection
8850,The Shadow,48063435,The Shadow Collection
78,Blade Runner,33139618,Blade Runner Collection
9066,The Brady Bunch Movie,0,The Brady Bunch Collection
771,Home Alone,476684675,Home Alone Collection
812,Aladdin,504050219,Aladdin Collection
280,Terminator 2: Judgment Day,520000000,The Terminator Collection
268,Batman,411348924,Batman Collection
274,The Silence of the Lambs,272742922,The Hannibal Lecter Anthology
10020,Beauty and the Beast,377350553,Beauty and the Beast Collection
10824,Candyman: Farewell to the Flesh,13940383,Candyman Collection
25059,Homeward Bound II: Lost in San Francisco,32709423,Homeward Bound Collection
11827,Heavy Metal,0,Heavy Metal Collection
8766,Hellraiser: Bloodline,16675000,Hellraiser Collection
19042,All Dogs Go to Heaven 2,8620678,All Dogs Go to Heaven Collection
954,Mission: Impossible,457696359,Mission: Impossible Collection
8840,DragonHeart,115267375,DragonHeart Collection
25087,Bloodsport II,684351,Bloodsport Collection
5801,Pather Panchali,536364,The Apu Collection
896,The World of Apu,16000,The Apu Collection
8072,Alphaville,0,Lemmy Caution Collection
20762,The Substitute,0,The Substitute Collection
11687,The Visitors,0,The Visitors Collection
9323,Ghost in the Shell,2287714,Ghost in the Shell Collection
532,A Close Shave,0,Wallace & Gromit Collection
10547,The Arrival,14048372,The Arrival Collection
77771,Touki Bouki,0,"Martin Scorsese’s World Cinema Project, Vol. 1"
627,Trainspotting,16491080,Trainspotting Collection
602,Independence Day,816969268,Independence Day Collection
10545,The Hunchback of Notre Dame,100138851,The Hunchback of Notre Dame Collection
9327,The Nutty Professor,128769345,The Nutty Professor Collection
12606,A Very Brady Sequel,0,The Brady Bunch Collection
10546,The Crow: City of Angels,17917287,The Crow Collection
9431,Bordello of Blood,5600000,Tales from the Crypt Collection
10061,Escape from L.A.,42277365,Escape From ... Collection
238,The Godfather,245066411,The Godfather Collection
11134,Police Story 3: Supercop,20483423,Police Story Collection
38955,Project S,0,Police Story Collection
19004,The Land Before Time III: The Time of the Great Giving,0,The Land Before Time Collection
10987,Halloween: The Curse of Michael Myers,15116634,Halloween Collection
62,2001: A Space Odyssey,68700000,The Space Odyssey Series
3529,The Thin Man,1423000,The Thin Man Collection
10331,Night of the Living Dead,30000000,Living Dead Collection
39448,"Yes, Madam",0,In the Line of Duty Collection
10680,D3: The Mighty Ducks,22955097,The Mighty Ducks Collection
18660,The Apple Dumpling Gang,0,The Apple Dumpling Gang Collection
35115,"Davy Crockett, King of the Wild Frontier",0,Davy Crockett Collection
14821,Escape to Witch Mountain,20000000,Witch Mountain Collection
14136,The Love Bug,0,Herbie Collection
10869,Herbie Rides Again,0,Herbie Collection
19186,The Parent Trap,0,Parent Trap Collection
6878,Homeward Bound: The Incredible Journey,0,Homeward Bound Collection
15944,The Shaggy Dog,0,The Shaggy Dog Collection
11224,Cinderella,263591415,Cinderella Collection
15947,The Three Caballeros,0,Caballeros Collection
10948,The Fox and the Hound,29800000,The Fox and the Hound Collection
11229,Freeway,0,Freeway Collection
562,Die Hard,140767956,Die Hard Collection
10163,The Lawnmower Man,32101000,The Lawnmower Man Collection
11238,Aladdin and the King of Thieves,0,Aladdin Collection
88,Dirty Dancing,213954274,Dirty Dancing Collection
8491,Weekend at Bernie's,30218387,Weekend at Bernie's Collection
402,Basic Instinct,352927224,Basic Instinct Collection
25750,Children of the Corn IV: The Gathering,0,Children of the Corn Collection
11843,The Return of the Pink Panther,41833347,The Pink Panther (Original) Collection
1103,Escape from New York,50244700,Escape From ... Collection
11298,The Howling,17985893,The Howling Collection
4480,Jean de Florette,0,The Water of the Hills Collection
4481,Manon of the Spring,0,The Water of the Hills Collection
531,The Wrong Trousers,0,Wallace & Gromit Collection
36555,Best of the Best 3: No Turning Back,0,Best of the Best Collection
11455,Up in Smoke,41590893,Cheech & Chong Collection
1891,The Empire Strikes Back,538400000,Star Wars Collection
85,Raiders of the Lost Ark,389925971,Indiana Jones Collection
679,Aliens,183316455,Alien Collection
429,"The Good, the Bad and the Ugly",6000000,The Man With No Name Collection
1892,Return of the Jedi,572700000,Star Wars Collection
348,Alien,104931801,Alien Collection
766,Army of Darkness,0,Evil Dead Collection
539,Psycho,32000000,Psycho Collection
525,The Blues Brothers,115229890,The Blues Brothers Collection
240,The Godfather: Part II,47542841,The Godfather Collection
530,A Grand Day Out,0,Wallace & Gromit Collection
9277,The Sting,159616327,The Sting Collection
218,The Terminator,78371200,The Terminator Collection
829,Chinatown,30000000,The Jake Gittes Collection
765,Evil Dead II,5923044,Evil Dead Collection
105,Back to the Future,381109762,Back to the Future Collection
8009,Highlander,5900000,Highlander Collection
756,Fantasia,83320000,Fantasia Collection
11314,Koyaanisqatsi,1723872,Qatsi Collection
89,Indiana Jones and the Last Crusade,474171806,Indiana Jones Collection
8077,Alien³,159773545,Alien Collection
41671,Amityville: It's About Time,0,The Amityville Horror Collection
27214,Amityville 3-D,6333135,The Amityville Horror Collection
52263,Amityville: Dollhouse,0,The Amityville Horror Collection
33519,Amityville: A New Generation,0,The Amityville Horror Collection
16235,Amityville II: The Possession,12534817,The Amityville Horror Collection
11449,The Amityville Horror,86432000,The Amityville Horror Collection
41848,The Amityville Curse,0,The Amityville Horror Collection
8851,The Blob,0,The Blob Collection
229,Bride of Frankenstein,0,Frankenstein (Universal Series)
9529,Candyman,25792310,Candyman Collection
7340,Carrie,33800000,Carrie Collection
377,A Nightmare on Elm Street,25504513,A Nightmare on Elm Street Collection
794,The Omen,60922980,The Omen Collection
145,Breaking the Waves,3803298,Heart of Gold Collection
199,Star Trek: First Contact,150000000,Star Trek: The Next Generation Collection
9279,Jingle All the Way,129832389,Jingle All the Way Collection
17204,Paradise Lost: The Child Murders at Robin Hood Hills,0,Paradise Lost Collection
11674,101 Dalmatians,320689294,101 Dalmatians (Live-Action) Collection
1573,Die Hard 2,240031094,Die Hard Collection
152,Star Trek: The Motion Picture,139000000,Star Trek: The Original Series Collection
174,Star Trek VI: The Undiscovered Country,96900000,Star Trek: The Original Series Collection
172,Star Trek V: The Final Frontier,70200000,Star Trek: The Original Series Collection
154,Star Trek II: The Wrath of Khan,96800000,Star Trek: The Original Series Collection
157,Star Trek III: The Search for Spock,87000000,Star Trek: The Original Series Collection
168,Star Trek IV: The Voyage Home,133000000,Star Trek: The Original Series Collection
364,Batman Returns,280000000,Batman Collection
11967,Young Guns,44726644,Young Guns Collection
9086,Young Guns II,0,Young Guns Collection
621,Grease,181813770,Grease Collection
9037,Grease 2,15171476,Grease Collection
8845,Under Siege,156563139,Under Siege Collection
578,Jaws,470654000,The Jaws Collection
579,Jaws 2,187884007,The Jaws Collection
17692,Jaws 3-D,87987055,The Jaws Collection
4232,Scream,173046663,Scream Collection
34314,Turbulence,11466088,Turbulence Collection
9404,First Strike,21890845,Police Story Collection
14908,McHale's Navy,4529843,McHale's Navy Collection
11419,Vegas Vacation,36400360,National Lampoon's Vacation Collection
10003,The Saint,118063304,The Saint Collection
11844,The Van,0,Barrytown Trilogy
6499,Turbo: A Power Rangers Movie,17979739,Power Rangers Collection
9360,Anaconda,136885767,Anaconda Collection
816,Austin Powers: International Man of Mystery,67683989,Austin Powers Collection
49478,Warriors of Virtue,0,Warriors of Virtue Collection
1811,Nowhere,27354,Teenage Apocalypse Trilogy
330,The Lost World: Jurassic Park,229074524,Jurassic Park Collection
33660,Shiloh,0,Shiloh Collection
1639,Speed 2: Cruise Control,164508066,Speed Collection
415,Batman & Robin,238207122,Batman Collection
17991,Tetsuo II: Body Hammer,0,Tetsuo Collection
607,Men in Black,589390539,Men In Black Collection
9387,Conan the Barbarian,79114085,Conan the Barbarian Collection
10603,George of the Jungle,0,George of the Jungle Collection
20737,Air Bud,23144499,Air Bud Collection
18519,Free Willy 3: The Rescue,0,Free Willy Collection
4961,Mimic,25480490,Mimic Collection
1669,The Hunt for Red October,199200000,The Jack Ryan Collection
9437,Kiss the Girls,60527873,Alex Cross Collection
10351,Wishmaster,15719109,Wishmaster Collection
3597,I Know What You Did Last Summer,125586134,I Know What You Did Last Summer Collection
1281,Bean,251212670,Mr. Bean Collection
563,Starship Troopers,121214377,Starship Troopers Collection
9823,Mortal Kombat: Annihilation,51376861,Mortal Kombat Collection
8078,Alien: Resurrection,162000000,Alien Collection
42832,The Boys,0,Les Boys
9714,Home Alone 3,79082515,Home Alone Collection
4233,Scream 2,172363301,Scream Collection
714,Tomorrow Never Dies,333011068,James Bond Collection
9922,The Postman,17626234,The Postman Collection
32302,3 Ninjas: High Noon at Mega Mountain,0,3 Ninjas Collection
9033,The Prophecy II,0,The Prophecy Collection
11568,Blues Brothers 2000,14051384,The Blues Brothers Collection
11808,U.S. Marshals,102367405,The Fugitive / U.S. Marshals Collection
617,Wild Things,67200000,Wild Things Collection
17644,Barney's Great Adventure,0,Barney Collection
27472,The Odd Couple II,0,The Odd Couple Collection
10216,Species II,19165560,Species Collection
9771,Major League: Back to the Minors,3572443,Major League Collection
37410,Henry Fool,1334786,Henry Fool Collection
10674,Mulan,304320254,Mulan Collection
846,The X Files,189198313,The X-Files Collection
3050,Doctor Dolittle,294456605,Dr. Dolittle Collection
944,Lethal Weapon 4,285444603,Lethal Weapon Collection
1051,The French Connection,41158757,French Connection Collection
1366,Rocky,117235147,Rocky Collection
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,29999213,A Nightmare on Elm Street Collection
10072,A Nightmare on Elm Street 3: Dream Warriors,44793222,A Nightmare on Elm Street Collection
10131,A Nightmare on Elm Street 4: The Dream Master,72500000,A Nightmare on Elm Street Collection
10160,A Nightmare on Elm Street 5: The Dream Child,22168359,A Nightmare on Elm Street Collection
11284,Freddy's Dead: The Final Nightmare,34872033,A Nightmare on Elm Street Collection
4488,Friday the 13th,59754601,Friday the 13th Collection
9725,Friday the 13th Part 2,21722776,Friday the 13th Collection
9728,Friday the 13th Part III,36690067,Friday the 13th Collection
9730,Friday the 13th: The Final Chapter,32980880,Friday the 13th Collection
9731,Friday the 13th: A New Beginning,21930418,Friday the 13th Collection
10225,Friday the 13th Part VI: Jason Lives,19472057,Friday the 13th Collection
10281,Friday the 13th Part VII: The New Blood,19170001,Friday the 13th Collection
10283,Friday the 13th Part VIII: Jason Takes Manhattan,14000000,Friday the 13th Collection
948,Halloween,70000000,Halloween Collection
11281,Halloween II,25533818,Halloween Collection
10676,Halloween III: Season of the Witch,14400000,Halloween Collection
11357,Halloween 4: The Return of Michael Myers,17768757,Halloween Collection
11361,Halloween 5: The Revenge of Michael Myers,11642254,Halloween Collection
36599,Prom Night,14796236,Prom Night Collection
39929,Hello Mary Lou: Prom Night II,2683519,Prom Night Collection
41828,Prom Night III: The Last Kiss,0,Prom Night Collection
41769,Prom Night IV: Deliver Us from Evil,0,Prom Night Collection
10585,Child's Play,44196684,Child's Play Collection
11186,Child's Play 2,35763605,Child's Play Collection
11187,Child's Play 3,20560255,Child's Play Collection
609,Poltergeist,122200000,Poltergeist Collection
11133,Poltergeist II: The Other Side,40996665,Poltergeist Collection
10306,Poltergeist III,14144000,Poltergeist Collection
9552,The Exorcist,441306145,The Exorcist Collection
11586,Exorcist II: The Heretic,30749142,The Exorcist Collection
11587,The Exorcist III,39024251,The Exorcist Collection
941,Lethal Weapon,120207127,Lethal Weapon Collection
942,Lethal Weapon 2,227853986,Lethal Weapon Collection
943,Lethal Weapon 3,321731527,Lethal Weapon Collection
927,Gremlins,153083102,The Gremlins Collection
928,Gremlins 2: The New Batch,41482207,The Gremlins Collection
9342,The Mask of Zorro,250288523,Zorro Collection
165,Back to the Future Part II,332000000,Back to the Future Collection
196,Back to the Future Part III,244527583,Back to the Future Collection
551,The Poseidon Adventure,84563118,The Poseidon Adventure Collection
17984,The Absent-Minded Professor,0,Flubber Collection
22328,The Apple Dumpling Gang Rides Again,0,The Apple Dumpling Gang Collection
3170,Bambi,267447150,Bambi Collection
242,The Godfather: Part III,136766062,The Godfather Collection
29228,The Computer Wore Tennis Shoes,0,Dexter Riley Collection
11164,D2: The Mighty Ducks,45610410,The Mighty Ducks Collection
12129,Herbie Goes Bananas,0,Herbie Collection
14140,Herbie Goes To Monte Carlo,0,Herbie Collection
11158,Honey I Blew Up the Kid,58662452,"Honey, I Shrunk the Kids Collection"
9354,"Honey, I Shrunk the Kids",222724172,"Honey, I Shrunk the Kids Collection"
9325,The Jungle Book,205843612,The Jungle Book Collection
10340,Lady and the Tramp,93600000,Lady and the Tramp Collection
10144,The Little Mermaid,222300000,The Little Mermaid Collection
10414,The Mighty Ducks,50752337,The Mighty Ducks Collection
10437,The Muppet Christmas Carol,27281507,The Muppet Collection
12230,One Hundred and One Dalmatians,215880014,101 Dalmatians (Animated) Collection
10693,Peter Pan,87404651,Peter Pan Collection
11135,The Rescuers Down Under,47431461,The Rescuers Collection
11319,The Rescuers,71215869,The Rescuers Collection
14822,Return from Witch Mountain,16393000,Witch Mountain Collection
15969,The Return of Jafar,0,Aladdin Collection
15943,The Shaggy D.A.,0,The Shaggy Dog Collection
19762,Son of Flubber,0,Flubber Collection
2619,Splash,69821334,Splash Collection
97,Tron,33000000,TRON Collection
11675,Halloween: H20,55041738,Halloween Collection
87,Indiana Jones and the Temple of Doom,333000000,Indiana Jones Collection
123,The Lord of the Rings,30471420,The Lord of the Rings Animated Collection
10823,Children of the Corn,14000000,Children of the Corn Collection
11497,All Dogs Go to Heaven,27100027,All Dogs Go to Heaven Collection
2907,The Addams Family,191502426,Addams Family Collection
15171,Charlotte's Web,0,Charlotte's Web Collection
11704,The Secret of NIMH,14665733,The Secret Of NIMH Collection
4978,An American Tail,84542002,Fievel Collection
10380,An American Tail: Fievel Goes West,40766041,Fievel Collection
11415,House,0,House Collection
37530,House II: The Second Story,7800000,House Collection
8393,The Gods Must Be Crazy,60000000,The Gods Must Be Crazy Collection
11937,The Gods Must Be Crazy II,0,The Gods Must Be Crazy Collection
21661,Air Bud: Golden Receiver,10224116,Air Bud Collection
39930,"Henry II, Portrait of a Serial Killer",0,Henry: Portrait of a Serial Killer Collection
10692,Henry: Portrait of a Serial Killer,0,Henry: Portrait of a Serial Killer Collection
805,Rosemary's Baby,33395426,Rosemary's Baby Collection
34584,The NeverEnding Story,20158808,The Neverending Story Collection
34636,The Neverending Story II: The Next Chapter,16283667,The Neverending Story Collection
2182,Attack of the Killer Tomatoes!,0,Killer Tomatoes! Collection
36647,Blade,131183530,Blade Collection
431,Cube,501818,Cube Collection
2109,Rush Hour,244386864,Rush Hour Collection
9877,Urban Legend,72527595,Urban Legend
1091,The Thing,19629760,The Thing Collection
4437,2010,40400657,The Space Odyssey Series
11932,Bride of Chucky,50671850,Child's Play Collection
9945,Vampires,0,Vampires Collection
4518,Elizabeth,82150642,Elizabeth Collection
3600,I Still Know What You Did Last Summer,40002112,I Know What You Did Last Summer Collection
12223,The Stepford Wives,0,Stepford Collection
14444,The Rugrats Movie,100491683,Rugrats Collection
1678,Godzilla,0,Godzilla (Showa) Collection
39256,Godzilla 1985,4100000,Godzilla (Heisei) Collection
1680,King Kong vs. Godzilla,0,Godzilla (Showa) Collection
244,King Kong,10000000,King Kong (1933 series)
10730,King Kong,90614445,King Kong (1976 series)
31947,King Kong Lives,4711220,King Kong (1976 series)
9749,Fletch,59612888,Fletch Collection
14628,Fletch Lives,35150960,Fletch Collection
9626,Red Sonja,6948633,Conan the Barbarian Collection
707,A View to a Kill,152427960,James Bond Collection
9336,Police Academy,146198896,Police Academy Collection
10157,Police Academy 2: Their First Assignment,55600000,Police Academy Collection
12118,Police Academy 3: Back in Training,43579163,Police Academy Collection
10587,Police Academy 4: Citizens on Patrol,28061343,Police Academy Collection
11825,Police Academy 5: Assignment Miami Beach,19510371,Police Academy Collection
11895,Police Academy 6: City Under Siege,11567217,Police Academy Collection
9447,Babe: Pig in the City,69131860,Babe Collection
200,Star Trek: Insurrection,118000000,Star Trek: The Next Generation Collection
1369,Rambo: First Blood Part II,300400432,Rambo Collection
1368,First Blood,125212904,Rambo Collection
1370,Rambo III,189015611,Rambo Collection
10303,The Jewel of the Nile,96773200,Romancing the Stone Collection
9326,Romancing the Stone,86572238,Romancing the Stone Collection
10328,Cocoon,85313124,Cocoon Collection
11285,Cocoon: The Return,25024919,Cocoon Collection
1367,Rocky II,200182160,Rocky Collection
1371,Rocky III,270000000,Rocky Collection
1374,Rocky IV,300473716,Rocky Collection
1375,Rocky V,119946358,Rocky Collection
1885,The Karate Kid,90815558,The Karate Kid Collection
8856,"The Karate Kid, Part II",115103979,The Karate Kid Collection
10495,"The Karate Kid, Part III",38956288,The Karate Kid Collection
5825,National Lampoon's Christmas Vacation,71320000,National Lampoon's Vacation Collection
6917,The Gate,0,The Gate Collection
40729,The Gate II: Trespassers,0,The Gate Collection
11815,The Fly,3000000,The Fly (1958 series)
9426,The Fly,60629159,The Fly Collection
10344,The Fly II,38903179,The Fly Collection
30497,The Texas Chain Saw Massacre,30859000,Texas Chainsaw Massacre Collection
16337,The Texas Chainsaw Massacre 2,8025872,Texas Chainsaw Massacre Collection
25018,Leatherface: Texas Chainsaw Massacre III,5765562,Texas Chainsaw Massacre Collection
16780,Texas Chainsaw Massacre: The Next Generation,185898,Texas Chainsaw Massacre Collection
9671,Crocodile Dundee,328203506,Crocodile Dundee Collection
9396,Crocodile Dundee II,239606210,Crocodile Dundee Collection
11873,The Color of Money,52293982,The Hustler Collection
8224,8MM,96618699,8MM Collection
8913,Pet Sematary,57469467,Pet Sematary Collection
10906,Pet Sematary II,17092453,Pet Sematary Collection
25748,Children of the Corn II: The Final Sacrifice,6980986,Children of the Corn Collection
25749,Children of the Corn III: Urban Harvest,0,Children of the Corn Collection
10671,Airport,100489151,Airport Collection
27932,Airport 1975,47000000,Airport Collection
7227,Airport '77,30000000,Airport Collection
33518,Alligator,0,Alligator Collection
2362,Westworld,0,Westworld Collection
871,Planet of the Apes,33395426,Planet of the Apes Original Collection
1685,Beneath the Planet of the Apes,18999718,Planet of the Apes Original Collection
1705,Battle for the Planet of the Apes,8844595,Planet of the Apes Original Collection
1688,Conquest of the Planet of the Apes,9700000,Planet of the Apes Original Collection
1687,Escape from the Planet of the Apes,12348905,Planet of the Apes Original Collection
29723,The Concorde... Airport '79,13015688,Airport Collection
31638,Beyond the Poseidon Adventure,0,The Poseidon Adventure Collection
9535,Analyze This,176885658,Analyze Collection
796,Cruel Intentions,75902208,Cruel Intentions Collection
7341,The Rage: Carrie 2,17762705,Carrie Collection
603,The Matrix,463517383,The Matrix Collection
564,The Mummy,415885488,The Mummy Collection
9460,Black Mask,0,The Black Mask Collection
1893,Star Wars: Episode I - The Phantom Menace,924317558,Star Wars Collection
15849,The Mummy,0,The Mummy (Universal Series)
18990,The Mummy,0,The Mummy (Hammer Series)
29242,The Mummy's Curse,0,The Mummy (Universal Series)
29243,The Mummy's Ghost,0,The Mummy (Universal Series)
31498,The Mummy's Hand,0,The Mummy (Universal Series)
29239,The Mummy's Tomb,0,The Mummy (Universal Series)
1924,Superman,300218018,Superman Collection
8536,Superman II,190458706,Superman Collection
9531,Superman III,75850624,Superman Collection
11411,Superman IV: The Quest for Peace,19300000,Superman Collection
138,Dracula,1012189,Dracula (Universal Series)
30793,House of Dracula,0,Dracula (Universal Series)
3103,House of Frankenstein,0,Frankenstein (Universal Series)
3035,Frankenstein,12000000,Frankenstein (Universal Series)
3077,Son of Frankenstein,0,Frankenstein (Universal Series)
3074,The Ghost of Frankenstein,0,Frankenstein (Universal Series)
3076,Frankenstein Meets the Wolf Man,0,The Wolf Man (Universal Series)
3079,The Curse of Frankenstein,0,Frankenstein (Hammer Series)
32023,Son of Dracula,0,Dracula (Universal Series)
13666,The Wolf Man,0,The Wolf Man (Universal Series)
29794,Howling II: Stirba - Werewolf Bitch,0,The Howling Collection
36685,The Rocky Horror Picture Show,112892319,Rocky Horror Collection
17918,Swamp Thing,0,Swamp Thing Collection
817,Austin Powers: The Spy Who Shagged Me,310940086,Austin Powers Collection
37135,Tarzan,448000000,Tarzan (Animation) Collection
2105,American Pie,235483004,American Pie Collection
10239,Autumn Tale,0,Tales of the Four Seasons
10208,Muppets from Space,16290976,The Muppet Collection
2667,The Blair Witch Project,248000000,Blair Witch Collection
9825,Lake Placid,56870414,Lake Placid Collection
620,Ghostbusters,295212467,Ghostbusters Collection
2978,Ghostbusters II,215394738,Ghostbusters Collection
332,Inspector Gadget,0,Inspector Gadget Collection
147,The 400 Blows,0,The Adventures of Antoine Doinel
9710,Allan Quatermain and the Lost City of Gold,0,Allan Quatermain Collection
10766,Damien: Omen II,26518355,The Omen Collection
10768,Omen III: The Final Conflict,20471382,The Omen Collection
813,Airplane!,83453539,Airplane Collection
2665,Airplane II: The Sequel,27150534,Airplane Collection
11418,National Lampoon’s European Vacation,49364621,National Lampoon's Vacation Collection
11153,National Lampoon's Vacation,61399552,National Lampoon's Vacation Collection
11077,Problem Child,0,Problem Child Collection
28597,Problem Child 2,0,Problem Child Collection
850,A Christmas Story,19294144,A Christmas Story Collection
10366,Universal Soldier: The Return,10667893,Universal Soldier Collection
9349,Universal Soldier,0,Universal Soldier Collection
11037,Iron Eagle,0,Iron Eagle Collection
11955,Iron Eagle II,0,Iron Eagle Collection
2038,Iron Eagle III,0,Iron Eagle Collection
28737,Iron Eagle IV,0,Iron Eagle Collection
91893,The Spiders - The Golden Sea,0,The Spiders Serial
11601,Stir of Echoes,21133087,Stir of Echoes Collection
11797,Fright Night,24922237,Fright Night Collection
18086,Fright Night Part 2,2983784,Fright Night Collection
10975,Armour of God II: Operation Condor,0,Armour of God Collection
10974,Armour of God,0,Armour of God Collection
9638,Phantasm,11988469,Phantasm Collection
10576,Psycho II,34725000,Psycho Collection
12662,Psycho III,14481606,Psycho Collection
11230,Drunken Master,0,Drunken Master Collection
1654,The Dirty Dozen,45300000,The Dirty Dozen Collection
658,Goldfinger,124881062,James Bond Collection
657,From Russia with Love,78898765,James Bond Collection
646,Dr. No,59600000,James Bond Collection
5689,The Blue Lagoon,58853106,The Blue Lagoon collection
391,A Fistful of Dollars,14500000,The Man With No Name Collection
772,Home Alone 2: Lost in New York,358991681,Home Alone Collection
65448,Penitentiary,0,Penitenciaría - Colección
65452,Penitentiary II,0,Penitenciaría - Colección
29064,The Omega Code,2400000,Omega Code Series
10496,Bats,10,Bats Collection
16162,The Best Man,34573780,The Best Man Collection
15247,The Ipcress File,0,Harry Palmer Collection
29251,On Any Sunday,0,On Any Sunday Collection
5548,RoboCop,53000000,RoboCop Collection
5549,RoboCop 2,45681173,RoboCop Collection
699,For Your Eyes Only,195312802,James Bond Collection
709,Licence to Kill,156167015,James Bond Collection
253,Live and Let Die,161777836,James Bond Collection
660,Thunderball,141195658,James Bond Collection
11377,House on Haunted Hill,40846082,House on Haunted Hill Collection
18111,Bride of Re-Animator,0,Re-Animator Collection
16281,Creepshow,21028755,Creepshow Collection
16288,Creepshow 2,14000000,Creepshow Collection
1694,Re-Animator,2023414,Re-Animator Collection
24831,Piranha,0,Piranha Collection
37853,Mister Roberts,0,Mister Roberts Collection
14035,Meatballs,0,Meatballs Collection
40771,Meatballs Part II,0,Meatballs Collection
40772,Meatballs III: Summer Job,0,Meatballs Collection
40773,Meatballs 4,0,Meatballs Collection
10228,Pokémon: The First Movie: Mewtwo Strikes Back,163644662,Pokémon Collection
11663,The Commitments,0,Barrytown Trilogy
9264,Poison Ivy,0,Poison Ivy Collection
18222,Poison Ivy: The New Seduction,0,Poison Ivy Collection
20565,42 Up,0,The Up Series
36643,The World Is Not Enough,361832400,James Bond Collection
863,Toy Story 2,497366869,Toy Story Collection
32669,The Two Jakes,10000000,The Jake Gittes Collection
10402,Deuce Bigalow: Male Gigolo,65535067,Deuce Bigalow Collection
25188,The Last Picture Show,29133000,The Last Picture Show Collection
15515,The 7th Voyage of Sinbad,0,The Sinbad Collection
10137,Stuart Little,300135367,Stuart Little Collection
49948,Fantasia 2000,90874570,Fantasia Collection
