vote_average,title
7.2,Living in Oblivion
5.9,Lord of Illusions
7.0,Love & Human Remains
5.5,Mad Love
6.8,Mallrats
5.2,Mighty Morphin Power Rangers: The Movie
5.6,Moonlight and Valentino
6.4,Mute Witness
5.9,Nadja
5.6,The Net
5.5,Nine Months
5.8,Party Girl
6.4,The Prophecy
10.0,Reckless
7.2,Safe
5.5,The Scarlet Letter
5.3,The Show
4.9,Showgirls
7.2,Smoke
5.7,Something to Talk About
5.5,Species
6.6,The Stars Fell on Henrietta
6.8,Strange Days
7.6,The Umbrellas of Cherbourg
4.6,The Tie That Binds
6.1,Three Wishes
6.5,Total Eclipse
6.3,"To Wong Foo, Thanks for Everything! Julie Newmar"
5.6,Under Siege 2: Dark Territory
6.4,Unstrung Heroes
6.0,Unzipped
6.5,A Walk in the Clouds
5.9,Waterworld
5.1,White Man's Burden
5.9,Wild Bill
6.0,The Browning Version
4.9,Bushwhacked
6.7,Burnt by the Sun
7.7,Before the Rain
7.7,Before Sunrise
6.2,Billy Madison
4.7,The Babysitter
6.3,Boys on the Side
7.2,The Cure
5.8,Castle Freak
6.5,Circle of Friends
7.4,Clerks
6.3,Don Juan DeMarco
5.9,Disclosure
2.5,Dream Man
5.1,Drop Zone
5.3,Destiny Turns on the Radio
7.1,Death and the Maiden
7.1,Dolores Claiborne
6.5,Dumb and Dumber
7.5,Eat Drink Man Woman
6.5,Exotica
4.3,Exit to Eden
7.3,Ed Wood
6.2,French Kiss
6.1,Forget Paris
5.6,Far from Home: The Adventures of Yellow Dog
6.7,A Goofy Movie
5.0,Hideaway
6.6,Fluke
5.9,Farinelli
3.0,Gordy
5.0,Gumby: The Movie
5.4,The Glass Shield
7.7,Hoop Dreams
6.9,Heavenly Creatures
6.0,Houseguest
6.9,Immortal Beloved
6.0,Heavyweights
6.0,The Hunted
5.9,I.Q.
7.2,Interview with the Vampire
5.2,Jefferson in Paris
4.8,The Jerky Boys
4.7,Junior
6.0,Just Cause
4.3,A Kid in King Arthur's Court
5.7,Kiss of Death
8.1,Star Wars
7.0,Little Women
7.4,A Little Princess
7.4,Ladybird Ladybird
6.6,L'Enfer
6.6,Like Water for Chocolate
7.2,Legends of the Fall
6.1,Major Payne
6.4,Little Odessa
5.7,Mi Vida Loca
4.3,Love Affair
6.4,Losing Isaiah
6.7,The Madness of King George
6.1,Mary Shelley's Frankenstein
5.1,Man of the House
5.2,Mixed Nuts
5.6,Milk Money
6.4,Miracle on 34th Street
5.6,Miami Rhapsody
7.0,My Family
6.9,Murder in the First
7.0,Nobody's Fool
6.1,Nell
6.9,New Jersey Drive
0.0,New York Cop
4.0,Beyond Bedlam
4.6,Nemesis 2 - Nebula
7.4,Nina Takes a Lover
6.9,Natural Born Killers
6.4,Only You
7.6,Once Were Warriors
4.6,Poison Ivy II: Lily
6.4,Outbreak
8.2,Leon: The Professional
6.6,The Perez Family
7.0,A Pyromaniac's Love Story
8.3,Pulp Fiction
6.4,Panther
6.1,Pushing Hands
6.4,Priest
7.1,Quiz Show
7.4,Picture Bride
7.0,Queen Margot
6.2,The Quick and the Dead
6.4,Roommates
5.3,Prêt-à-Porter
7.8,Three Colors: Red
7.7,Three Colors: Blue
7.3,Three Colors: White
7.0,"Red Firecracker, Green Firecracker"
5.1,Rent-a-Kid
4.7,Relative Fear
5.0,Stuart Saves His Family
6.5,The Swan Princess
6.1,The Secret of Roan Inish
5.5,The Specialist
6.8,Stargate
6.3,The Santa Clause
8.5,The Shawshank Redemption
7.0,Shallow Grave
6.0,Suture
7.1,Strawberry and Chocolate
6.7,Swimming with Sharks
6.0,The Sum of Us
5.7,Senior Trip
7.7,To Live
5.5,Tank Girl
6.7,Tales from the Crypt: Demon Knight
6.4,Star Trek: Generations
5.4,Tales from the Hood
5.8,Tom & Viv
5.6,Village of the Damned
6.8,Tommy Boy
6.1,Vanya on 42nd Street
5.6,The Underneath
6.6,The Walking Dead
7.5,What's Eating Gilbert Grape
5.4,Virtuosity
6.5,While You Were Sleeping
6.3,The War
5.5,Double Happiness
6.9,Muriel's Wedding
5.3,The Baby-Sitters Club
6.4,Ace Ventura: Pet Detective
7.2,"The Adventures of Priscilla, Queen of the Desert"
6.2,Backbeat
7.0,Bitter Moon
7.0,Bullets Over Broadway
6.4,Clear and Present Danger
6.4,The Client
6.4,"Corrina, Corrina"
6.7,Crooklyn
7.3,The Crow
6.1,Cobb
5.0,The Flintstones
8.2,Forrest Gump
6.6,Four Weddings and a Funeral
6.4,Higher Learning
6.3,I Like It Like That
5.3,I Love Trouble
6.1,It Could Happen to You
5.9,The Jungle Book
7.3,"The Wonderful, Horrible Life of Leni Riefenstahl"
8.0,The Lion King
6.0,Little Buddha
6.4,New Nightmare
6.6,The Mask
6.6,Maverick
6.3,Mrs. Parker and the Vicious Circle
6.4,The Naked Gun 33⅓: The Final Insult
6.1,The Paper
6.5,Reality Bites
6.4,Red Rock West
5.4,Ri¢hie Ri¢h
4.9,Safe Passage
6.1,The River Wild
6.8,Speed
5.5,Speechless
5.5,Timecop
6.8,True Lies
6.0,When a Man Loves a Woman
6.0,Wolf
6.5,Wyatt Earp
4.9,Bad Company
6.5,A Man of No Importance
6.1,S.F.W.
6.0,A Low Down Dirty Shame
2.0,"Boys Life: Three Stories of Love, Lust, and Liberation"
5.9,Colonel Chabert
6.5,"Faster, Pussycat! Kill! Kill!"
5.9,Jason's Lyric
7.1,The Secret Adventures of Tom Thumb
4.1,Street Fighter
6.7,Coldblooded
6.3,Fall Time
3.4,The Fear
7.5,Frank and Ollie
10.0,Girl in the Cadillac
0.0,Homage
4.0,Mirage
0.0,Open Season
4.0,Brother Minister: The Assassination of Malcolm X
4.5,Highlander: The Final Dimension
7.1,In the Mouth of Madness
7.2,8 Seconds
6.7,Above the Rim
6.5,Addams Family Values
4.5,Martin Lawrence: You So Crazy
7.0,The Age of Innocence
5.8,Airheads
5.1,The Air Up There
4.9,Another Stakeout
4.6,Bad Girls
6.6,Barcelona
5.0,Being Human
5.0,The Beverly Hillbillies
5.5,Beverly Hills Cop III
6.6,Black Beauty
6.3,Blink
6.0,Blown Away
5.7,Blue Chips
6.1,Blue Sky
5.8,Body Snatchers
4.5,Boxing Helena
7.4,A Bronx Tale
4.9,Cabin Boy
3.7,Calendar Girl
7.7,Carlito's Way
4.9,City Slickers II: The Legend of Curly's Gold
5.7,Clean Slate
6.1,Cliffhanger
4.8,Coneheads
5.4,Color of Night
5.0,Cops & Robbersons
5.1,The Cowboy Way
5.4,Dangerous Game
6.3,Dave
7.4,Dazed and Confused
6.4,Demolition Man
7.1,The Endless Summer 2
4.2,Even Cowgirls Get the Blues
5.4,Fatal Instinct
7.8,Farewell My Concubine
3.3,The Favor
6.8,Fearless
5.8,Fear of a Black Hat
6.1,With Honors
6.2,Flesh and Bone
4.3,Widows' Peak
5.7,For Love or Money
6.6,The Firm
6.0,Free Willy
7.6,Fresh
7.2,The Fugitive
5.9,Geronimo: An American Legend
5.4,The Getaway
4.5,Getting Even with Dad
3.9,Go Fish
5.2,A Good Man in Africa
5.6,Guilty as Sin
6.1,Hard Target
6.4,Heaven & Earth
6.2,Hot Shots! Part Deux
4.7,Live Nude Girls
6.1,The Englishman Who Went Up a Hill But Came Down a Mountain
6.7,The House of the Spirits
4.6,House Party 3
7.1,The Hudsucker Proxy
5.7,I'll Do Anything
4.7,In the Army Now
6.8,In the Line of Fire
7.6,In the Name of the Father
3.9,The Inkwell
6.9,What's Love Got to Do with It
4.6,Jimmy Hollywood
6.4,Judgment Night
7.6,Jurassic Park
6.5,Kalifornia
6.1,Killing Zoe
6.4,King of the Hill
6.1,Lassie
6.1,Last Action Hero
5.1,Life With Mikey
5.7,Lightning Jack
6.6,M. Butterfly
5.3,Made in America
5.9,Malice
6.2,The Man without a Face
7.1,Manhattan Murder Mystery
7.2,Menace II Society
5.8,Executive Decision
6.5,In the Realm of the Senses
7.0,What Happened Was...
7.2,Much Ado About Nothing
5.9,Mr. Jones
5.5,Mr. Wonderful
7.0,Mrs. Doubtfire
7.5,Naked
4.8,The Next Karate Kid
4.8,The New Age
6.1,No Escape
4.8,North
6.7,Orlando
7.2,A Perfect World
7.6,Philadelphia
7.1,The Piano
6.9,Poetic Justice
6.0,The Program
5.6,The Puppet Masters
5.8,Radioland Murders
6.7,The Ref
7.5,The Remains of the Day
5.9,Renaissance Man
5.8,Rising Sun
5.5,The Road to Wellville
4.2,RoboCop 3
6.4,Robin Hood: Men in Tights
5.7,Romeo Is Bleeding
6.6,Romper Stomper
5.6,Ruby in Paradise
7.2,Rudy
4.0,The Saint of Fort Washington
6.2,Savage Nights
8.3,Schindler's List
5.3,The Scout
7.3,Searching for Bobby Fischer
5.9,Second Best
7.1,The Secret Garden
6.4,Serial Mom
5.4,The Shadow
6.8,Shadowlands
6.9,Short Cuts
5.7,A Simple Twist of Fate
5.2,Sirens
6.5,Six Degrees of Separation
6.5,Sleepless in Seattle
4.9,Sliver
7.9,Blade Runner
5.6,Son in Law
6.1,So I Married an Axe Murderer
5.4,Striking Distance
4.0,Harem
4.0,Super Mario Bros.
6.1,Surviving the Game
5.0,Terminal Velocity
7.4,Thirty Two Short Films About Glenn Gould
6.3,Threesome
7.6,The Nightmare Before Christmas
6.2,The Three Musketeers
7.4,Tombstone
5.5,Trial by Jury
7.5,True Romance
7.3,The War Room
6.2,The Pagemaster
6.0,"Paris, France"
3.0,Killer
6.9,Welcome to the Dollhouse
6.3,Germinal
4.7,Chasers
6.4,Cronos
4.0,Naked in New York
6.8,Kika
5.1,Bhaji on the Beach
6.0,Little Big League
6.2,The Slingshot
0.0,Wide Eyed and Legless
0.0,Foreign Student
7.2,"Ciao, Professore!"
5.3,Spanking the Monkey
6.3,The Little Rascals
0.0,À la mode
5.0,Andre
5.0,The Escort
4.4,Princess Caraboo
7.0,The Celluloid Closet
6.8,Café au Lait
6.9,Dear Diary
6.0,I Don't Want to Talk About It
5.9,The Brady Bunch Movie
7.1,Home Alone
6.9,Ghost
7.4,Aladdin
7.7,Terminator 2: Judgment Day
7.6,Dances with Wolves
6.3,Tough and Deadly
7.0,Batman
8.1,The Silence of the Lambs
6.9,Snow White and the Seven Dwarfs
7.5,Beauty and the Beast
6.9,Pinocchio
7.0,Pretty Woman
6.0,Window to Paris
7.7,The Wild Bunch
5.5,Love and a .45
6.5,The Wooden Man's Bride
6.1,Bye Bye Love
6.1,One Fine Day
5.0,Candyman: Farewell to the Flesh
5.0,Century
7.7,Fargo
6.0,Homeward Bound II: Lost in San Francisco
6.3,Heavy Metal
4.9,Hellraiser: Bloodline
4.6,The Pallbearer
7.1,Jane Eyre
4.0,Loaded
7.1,Bread and Chocolate
7.1,The Aristocats
6.9,The Flower of My Secret
5.1,Two Much
3.6,Ed
7.5,Scream of Stone
6.4,My Favorite Season
4.7,Condition Red
7.4,Halfaouine: Boy of the Terraces
5.7,A Thin Line Between Love and Hate
6.5,The Last Supper
7.4,Primal Fear
5.4,Carried Away
5.0,All Dogs Go to Heaven 2
7.0,Land and Freedom
6.6,Denise Calls Up
3.6,Theodore Rex
5.6,A Family Thing
3.0,Frisk
5.5,Sgt. Bilko
5.1,Jack & Sarah
5.7,Girl 6
5.4,Diabolique
6.0,"Little Indian, Big City"
5.0,Roula
4.0,Peanuts – Die Bank zahlt alles
0.0,Happy Weekend
7.1,Nelly and Monsieur Arnaud
6.2,Courage Under Fire
6.7,Mission: Impossible
7.7,Cold Fever
6.2,Moll Flanders
5.3,The Superwife
6.2,"301, 302"
6.4,DragonHeart
0.0,Und keiner weint mir nach
0.0,My Mother's Courage
5.4,Eddie
6.0,Yankee Zulu
7.3,Purple Noon
5.3,August
6.2,James and the Giant Peach
6.1,Fear
5.9,Kids in the Hall: Brain Candy
4.8,Faithful
7.5,Underground
6.1,All Things Fair
5.2,Bloodsport II
7.9,Pather Panchali
8.2,The World of Apu
7.0,Mystery Science Theater 3000: The Movie
6.5,Space Jam
5.7,Barbarella
8.0,Hostile Intentions
5.5,They Bite
7.5,Some Folks Call It a Sling Blade
8.0,The Run of the Country
6.8,Alphaville
6.8,Coup de Torchon
7.5,Tigrero: A Film That Was Never Made
5.8,Windows
6.2,It's My Party
8.0,Country Life
4.7,Operation Dumbo Drop
5.0,The Promise
5.5,Mrs. Winterbourne
3.9,Solo
6.5,Under The Domim Tree
5.8,The Substitute
5.1,True Crime
7.4,Butterfly Kiss
5.5,Feeling Minnesota
3.3,Delta of Venus
6.8,Angus
6.7,Priest Daens
7.1,Faces
5.3,Boys
5.3,The Quest
7.1,Cosi
5.1,Sunset Park
6.2,Mulholland Falls
5.7,The Truth About Cats & Dogs
6.5,Oliver & Company
4.9,Celtic Pride
5.3,Flipper
6.0,Captives
4.4,Of Love and Shadows
7.2,Dead Man
6.7,The Horseman on the Roof
6.6,Switchblade Sisters
5.5,Mouth to Mouth
7.1,The Visitors
5.5,Multiplicity
10.0,"The Haunted World of Edward D. Wood, Jr."
0.0,Two Friends
6.3,The Craft
5.1,The Great White Hype
5.6,Last Dance
7.0,Cold Comfort Farm
7.7,"Institute Benjamenta, or This Dream People Call Human Life"
5.0,Heaven's Prisoners
5.5,Original Gangstas
6.9,The Rock
5.5,Getting Away with Murder
7.0,Cemetery Man
6.1,Twister
3.9,Barb Wire
5.0,Le Garçu
0.0,Honeymoon
7.8,Ghost in the Shell
5.5,Thinner
4.9,Spy Hard
0.0,Brothers in Trouble
7.5,A Close Shave
6.6,Force of Evil
4.2,The Stupids
6.1,The Arrival
0.0,The Man from Down Under
8.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
7.8,Careful
7.2,A Month by the Lake
5.8,Gold Diggers: The Secret of Bear Mountain
7.0,Kim
10.0,Carmen Miranda: Bananas Is My Business
7.1,Ashes of Time
0.0,Maya Lin: A Strong Clear Vision
7.4,Stalingrad
4.7,The Phantom
4.4,Striptease
5.7,The Last of the High Kings
7.7,Heavy
5.9,Jack
6.1,I Shot Andy Warhol
6.1,The Grass Harp
0.0,Someone Else's America
6.5,Life is Rosy
7.3,Touki Bouki
5.0,God's Gift
5.5,Spirits of the Dead
6.3,Pharaoh's  Army
7.8,Trainspotting
3.9,Til There Was You
6.7,Independence Day
6.6,Stealing Beauty
5.7,The Fan
6.8,The Hunchback of Notre Dame
5.7,The Cable Guy
6.7,Kingpin
5.6,Eraser
6.7,The Gate of Heavenly Peace
5.4,The Nutty Professor
6.8,"I, the Worst of All"
7.2,An Unforgettable Summer
5.1,Somebody to Love
6.3,A Very Natural Thing
0.0,The Old Lady Who Walked in the Sea
5.8,Daylight
6.7,The Frighteners
6.9,Lone Star
5.7,Harriet the Spy
6.2,Phenomenon
6.6,Walking and Talking
5.7,She's the One
7.0,A Time to Kill
6.2,American Buffalo
6.5,Rendezvous in Paris
5.2,Alaska
5.2,Fled
3.6,Kazaam
5.4,Larger Than Life
4.0,Power 98
7.0,Two Deaths
5.8,A Very Brady Sequel
6.0,Stefano Quantestorie
7.4,Death in the Garden
6.5,Hedd Wyn
6.5,La Collectionneuse
6.3,Kaspar Hauser
5.2,Regular Guys
4.0,Diebinnen
6.5,The Convent
5.0,The Adventures of Pinocchio
5.0,Joe's Apartment
6.5,The First Wives Club
7.2,Stonewall
6.4,Ransom
5.4,High School High
5.4,Phat Beach
6.3,Foxfire
5.3,Chain Reaction
6.9,Matilda
6.7,Emma
5.2,The Crow: City of Angels
5.0,House Arrest
7.5,Eyes Without a Face
5.0,Bordello of Blood
7.0,Lotto Land
7.5,Flirt
5.0,The Big Squeeze
6.8,The Spitfire Grill
5.6,Escape from L.A.
6.8,Cyclo
6.6,Basquiat
5.9,Tin Cup
6.0,Dingo
6.4,The Ballad of Narayama
6.0,Every Other Weekend
8.5,The Godfather
6.1,Maybe... Maybe Not
6.7,Police Story 3: Supercop
6.3,Manny & Lo
0.0,Wife
0.0,Wife
6.9,Bound
4.9,Carpool
6.1,Death in Brunswick
6.1,Kansas City
4.7,Gone Fishin'
4.0,Lover's Knot
7.3,Vive L'Amour
4.0,Shadow of Angels
6.3,Killer: A Journal of Murder
0.0,Nothing to Lose
5.8,Project S
5.2,Girls Town
7.7,Bye-Bye
5.8,The Relic
4.6,The Island of Dr. Moreau
5.3,First Kid
6.6,The Trigger Effect
5.4,Bogus
5.4,Bulletproof
6.8,Talk of Angels
6.1,The Land Before Time III: The Time of the Great Giving
0.0,Baton Rouge
5.0,Halloween: The Curse of Michael Myers
7.0,Twelfth Night
7.1,Mother Night
6.3,Liebelei
7.5,Venice
7.4,Wild Reeds
6.1,For Whom the Bell Tolls
7.7,The Philadelphia Story
7.9,Singin' in the Rain
6.9,An American in Paris
7.0,Funny Face
7.6,Breakfast at Tiffany's
8.0,Vertigo
8.2,Rear Window
7.7,It Happened One Night
7.2,Gaslight
7.2,The Gay Divorcee
7.8,North by Northwest
8.1,The Apartment
8.0,Some Like It Hot
7.7,Charade
7.9,Casablanca
7.8,The Maltese Falcon
7.4,My Fair Lady
7.4,Sabrina
7.8,Roman Holiday
7.0,The Little Princess
6.8,Meet Me in St. Louis
7.4,The Wizard of Oz
7.7,Gone with the Wind
7.1,My Favorite Year
8.2,Sunset Boulevard
8.0,Citizen Kane
7.9,2001: A Space Odyssey
4.8,Golden Earrings
8.0,All About Eve
6.4,The Women
7.7,Rebecca
7.0,Foreign Correspondent
7.8,Notorious
7.3,Spellbound
7.1,An Affair to Remember
7.1,To Catch a Thief
6.6,Father of the Bride
7.1,The Band Wagon
7.3,Ninotchka
7.3,Love in the Afternoon
6.1,Gigi
6.6,The Reluctant Debutante
7.6,The Adventures of Robin Hood
7.1,The Mark of Zorro
7.6,Laura
7.3,The Ghost and Mrs. Muir
6.8,Lost Horizon
7.4,Top Hat
7.7,To Be or Not to Be
7.7,My Man Godfrey
7.5,Giant
7.5,East of Eden
7.4,The Thin Man
7.5,His Girl Friday
6.5,Around the World in Eighty Days
8.0,It's a Wonderful Life
7.9,Mr. Smith Goes to Washington
7.6,Bringing Up Baby
6.4,Penny Serenade
8.3,The Scarlet Letter
5.0,Lady of Burlesque
6.4,Of Human Bondage
5.7,Angel on My Shoulder
6.6,Little Lord Fauntleroy
5.6,They Made Me a Criminal
6.2,The Inspector General
6.6,Angel and the Badman
7.4,The 39 Steps
5.2,A Walk in the Sun
4.9,The Outlaw
7.5,Night of the Living Dead
7.4,The African Queen
6.2,Beat the Devil
7.6,Cat on a Hot Tin Roof
5.1,The Last Time I Saw Paris
7.3,Meet John Doe
5.8,Algiers
3.8,Something to Sing About
6.2,A Farewell to Arms
6.2,A Farewell to Arms
6.0,Moonlight Murder
4.0,Nothing Personal
7.4,"Yes, Madam"
5.0,Dangerous Ground
6.7,Picnic
5.3,The Pompatus of Love
0.0,Small Wonders
6.6,Fly Away Home
4.8,Bliss
6.5,Grace of My Heart
6.8,Brother of Sleep
5.3,Maximum Risk
6.8,Michael Collins
4.9,The Rich Man's Wife
0.0,Infinity
6.8,Big Night
6.2,Last Man Standing
6.5,Caught
6.9,Set It Off
5.9,2 Days in the Valley
6.2,Curdled
6.0,L'associé
5.7,Extreme Measures
4.7,The Glimmer Man
5.3,D3: The Mighty Ducks
5.9,The Chamber
6.6,The Apple Dumpling Gang
5.9,"Davy Crockett, King of the Wild Frontier"
6.5,Escape to Witch Mountain
6.0,The Love Bug
5.9,Herbie Rides Again
7.0,Old Yeller
6.8,The Parent Trap
6.9,Pollyanna
6.6,Homeward Bound: The Incredible Journey
6.2,The Shaggy Dog
7.0,Swiss Family Robinson
6.4,That Darn Cat!
6.9,"20,000 Leagues Under the Sea"
6.8,Cool Runnings
5.7,Angels in the Outfield
6.8,Cinderella
7.8,Winnie the Pooh and the Blustery Day
6.2,The Three Caballeros
6.9,The Sword in the Stone
6.3,So Dear to My Heart
6.6,Robin Hood: Prince of Thieves
7.4,Mary Poppins
6.8,Dumbo
6.4,Pete's Dragon
6.8,Bedknobs and Broomsticks
7.0,Alice in Wonderland
7.0,The Fox and the Hound
6.5,Freeway
7.4,The Sound of Music
7.5,Die Hard
5.4,The Lawnmower Man
6.2,Unhook the Stars
0.0,Synthetic Pleasures
5.0,The Secret Agent
7.1,Secrets & Lies
6.8,That Thing You Do!
5.1,To Gillian on Her 37th Birthday
5.3,Surviving Picasso
5.5,Love Is All There Is
7.3,Beautiful Thing
6.4,The Long Kiss Goodnight
6.4,The Ghost and the Darkness
6.9,Looking for Richard
6.7,Trees Lounge
0.0,The Proprietor
6.8,Normal Life
7.0,Get on the Bus
4.0,Shadow Conspiracy
6.6,Jude
6.5,Everyone Says I Love You
6.3,Bitter Sugar
6.7,Romeo + Juliet
6.8,Swingers
7.3,Sleepers
6.1,The Sunchaser
6.0,Johns
6.1,Aladdin and the King of Thieves
5.2,The Woman in Question
7.9,Shall We Dance
7.0,A Damsel in Distress
6.1,Crossfire
7.2,"Murder, My Sweet"
5.6,Macao
7.4,For the Moment
7.4,Willy Wonka & the Chocolate Factory
5.0,The Sexual Life of the Belgians
7.5,The Innocents
7.0,Sleeper
6.7,Bananas
7.1,A Fish Called Wanda
7.7,Life of Brian
6.9,Victor/Victoria
6.9,The Candidate
7.2,The Great Race
7.6,Bonnie and Clyde
6.0,The Old Man and the Sea
7.9,Dial M for Murder
7.1,Dirty Dancing
8.1,Reservoir Dogs
7.5,Platoon
6.4,Weekend at Bernie's
6.5,Basic Instinct
6.7,The Doors
6.9,The Crying Game
7.5,Glengarry Glen Ross
7.4,Sophie's Choice
7.3,E.T. the Extra-Terrestrial
6.3,The Search for One-eye Jimmy
7.0,A Christmas Carol
5.9,Days of Thunder
6.7,Top Gun
6.8,American Strays
7.6,Rebel Without a Cause
7.6,A Streetcar Named Desire
4.6,Children of the Corn IV: The Gathering
0.0,The Leopard Son
0.0,Charm's  Incidents
0.0,Bird of Prey
7.7,Microcosmos
5.4,Palookaville
6.2,The Associate
7.3,The Funeral
8.0,The Sleepover
6.8,A Single Girl
7.0,The Eighth Day
5.2,North Star
0.0,Drunks
6.8,The People vs. Larry Flynt
5.8,Glory Daze
5.3,A Perfect Candidate
7.3,On Golden Pond
6.7,The Return of the Pink Panther
5.9,Drop Dead Fred
7.1,The Abyss
6.4,The Fog
6.9,Escape from New York
6.4,The Howling
7.6,Jean de Florette
7.8,Manon of the Spring
6.3,Johnny 100 Pesos
6.0,Private Benjamin
7.8,Monty Python and the Holy Grail
6.8,Hustler White
4.0,Everything Relative
5.0,Entertaining Angels - The Dorothy Day Story
8.0,Three Lives and Only One Death
0.0,The Line King: The Al Hirschfeld Story
0.0,Snowriders
7.3,When We Were Kings
7.6,The Wrong Trousers
7.7,JLG/JLG: Self-Portrait in December
6.7,The Return of Martin Guerre
7.4,Faust
6.4,He Walked by Night
7.2,Raw Deal
6.4,T-Men
7.2,The Children Are Watching Us
4.7,Pastoral Symphony
3.5,Six of a Kind
7.0,The Tin Drum
6.8,The Ruling Class
4.8,Mina Tannenbaum
7.0,2 or 3 Things I Know About Her
0.0,The Bloody Child
5.1,Dear God
5.7,Bad Moon
6.0,American Dream
5.8,Best of the Best 3: No Turning Back
6.5,Bob Roberts
8.2,Cinema Paradiso
7.3,"The Cook, the Thief, His Wife & Her Lover"
5.6,Dead Tired
7.4,Delicatessen
7.3,The Double Life of Veronique
6.9,Enchanted April
8.2,Paths of Glory
6.5,The Grifters
4.1,Hear My Song
5.0,The Shooter
7.0,The English Patient
7.4,Mediterraneo
7.5,My Left Foot: The Story of Christy Brown
6.7,"Sex, Lies, and Videotape"
6.7,Passion Fish
6.2,Strictly Ballroom
7.9,The Thin Blue Line
7.0,Tie Me Up! Tie Me Down!
6.3,Madonna: Truth or Dare
